Date,Shares Outstanding,Rate of Change (%)
2021-02-23,4307.282608695652,0.002271230325456841
2021-02-24,4307.380434782609,0.002271178741786173
2021-02-25,4307.478260869565,0.002271127160402564
2021-02-26,4307.576086956522,0.0022710755813948325
2021-02-27,4307.673913043478,0.0022710240047185692
2021-02-28,4307.771739130435,0.002270972430395979
2021-03-01,4307.869565217391,0.002270920858404857
2021-03-02,4307.967391304348,0.0022708692887674076
2021-03-03,4308.065217391304,0.0022708177214614267
2021-03-04,4308.163043478261,0.0022707661565091186
2021-03-05,4308.260869565217,0.0022707145938660744
2021-03-06,4308.358695652174,0.002270663033621112
2021-03-07,4308.45652173913,0.002270611475663209
2021-03-08,4308.554347826087,0.0022705599200811832
2021-03-09,4308.652173913043,0.0022705083668084214
2021-03-10,4308.75,0.002270456815911537
2021-03-11,4308.847826086957,0.0022704052673461206
2021-03-12,4308.945652173913,0.0022703537210899682
2021-03-13,4309.04347826087,0.0022703021772318976
2021-03-14,4309.141304347826,0.0022702506356608865
2021-03-15,4309.239130434783,0.0022701990964657526
2021-03-16,4309.336956521739,0.0022701475595798826
2021-03-17,4309.434782608696,0.00227009602506989
2021-03-18,4309.532608695652,0.002270044492869161
2021-03-19,4309.630434782609,0.002269992963022105
2021-03-20,4309.728260869565,0.0022699414355065173
2021-03-21,4309.826086956522,0.0022698899103446024
2021-03-22,4309.923913043478,0.0022698383874919514
2021-03-23,4310.021739130435,0.0022697868670151777
2021-03-24,4310.119565217391,0.002269735348847668
2021-03-25,4310.217391304348,0.0022696838330560354
2021-03-26,4310.315217391304,0.0022696323195514623
2021-03-27,4310.413043478261,0.002269580808444971
2021-03-28,4310.510869565217,0.0022695292996033345
2021-03-29,4310.608695652174,0.00226947779315978
2021-03-30,4310.70652173913,0.002269426289025489
2021-03-31,4310.804347826087,0.0022693747872670755
2021-04-01,4310.902173913043,0.002269323287773517
2021-04-02,4311.0,0.0022692717907002447
2021-04-03,4311.043956043956,0.0010196252367533631
2021-04-04,4311.087912087912,0.0010196148404695293
2021-04-05,4311.131868131868,0.001019604444452149
2021-04-06,4311.175824175824,0.001019594048634609
2021-04-07,4311.219780219781,0.001019583653016909
2021-04-08,4311.263736263736,0.001019573257599049
2021-04-09,4311.307692307692,0.0010195628624254383
2021-04-10,4311.351648351649,0.0010195524674516676
2021-04-11,4311.395604395604,0.0010195420726555326
2021-04-12,4311.43956043956,0.0010195316781258512
2021-04-13,4311.483516483517,0.00101952128379601
2021-04-14,4311.527472527472,0.0010195108896438043
2021-04-15,4311.571428571428,0.0010195004957358478
2021-04-16,4311.615384615385,0.0010194901020277314
2021-04-17,4311.659340659341,0.0010194797085416596
2021-04-18,4311.7032967032965,0.0010194693152332235
2021-04-19,4311.747252747253,0.001019458922191241
2021-04-20,4311.791208791209,0.001019448529326894
2021-04-21,4311.8351648351645,0.0010194381366623873
2021-04-22,4311.879120879121,0.0010194277442421296
2021-04-23,4311.923076923077,0.001019417352021712
2021-04-24,4311.9670329670325,0.0010194069599789302
2021-04-25,4312.010989010989,0.0010193965682026018
2021-04-26,4312.054945054945,0.0010193861766261136
2021-04-27,4312.0989010989015,0.0010193757852494656
2021-04-28,4312.142857142857,0.0010193653940504532
2021-04-29,4312.186813186813,0.0010193550031178944
2021-04-30,4312.2307692307695,0.0010193446123851757
2021-05-01,4312.274725274725,0.0010193342218300927
2021-05-02,4312.318681318681,0.0010193238315414632
2021-05-03,4312.3626373626375,0.0010193134414304694
2021-05-04,4312.406593406594,0.0010193030515415202
2021-05-05,4312.450549450549,0.0010192926618524112
2021-05-06,4312.494505494506,0.0010192822723853467
2021-05-07,4312.538461538462,0.001019271883140327
2021-05-08,4312.582417582417,0.0010192614940729428
2021-05-09,4312.626373626374,0.0010192511052498077
2021-05-10,4312.67032967033,0.0010192407166265127
2021-05-11,4312.714285714285,0.001019230328203058
2021-05-12,4312.758241758242,0.0010192199400238522
2021-05-13,4312.802197802198,0.0010192095520444866
2021-05-14,4312.846153846154,0.0010191991642649612
2021-05-15,4312.89010989011,0.0010191887766852759
2021-05-16,4312.934065934066,0.0010191783893498396
2021-05-17,4312.978021978022,0.0010191680022142435
2021-05-18,4313.021978021978,0.0010191576152562831
2021-05-19,4313.065934065934,0.0010191472285647762
2021-05-20,4313.10989010989,0.001019136842050905
2021-05-21,4313.153846153846,0.001019126455736874
2021-05-22,4313.197802197802,0.0010191160696892965
2021-05-23,4313.241758241758,0.0010191056838193546
2021-05-24,4313.285714285715,0.001019095298149253
2021-05-25,4313.32967032967,0.0010190849126789914
2021-05-26,4313.373626373626,0.0010190745274751833
2021-05-27,4313.417582417583,0.001019064142449011
2021-05-28,4313.461538461538,0.0010190537576226788
2021-05-29,4313.505494505494,0.0010190433730405957
